Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"A Chapnevis","EFFICIENT CONNECTIVITY MANAGEMENT AND PATH PLANNING FOR IOT AND UAV NETWORKS",2024,"","scholarscompass.vcu.edu","https://scholarscompass.vcu.edu/etd/7660/","",23,"2025-09-15 17:37:58","","","","",,,,,0,0.00,0,1,1,"… of UAV-assisted IoT networks, covering path planning, resource management, collaborative connectivity, … A related patent from Qualcomm discusses managing such wireless device …","https://scholarscompass.vcu.edu/cgi/viewcontent.cgi?article=8741&context=etd/","https://scholar.google.com/scholar?q=related:BvEy1EmjQBoJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
416,"A Tsourdos, B White, M Shanmugavel","Cooperative path planning of unmanned aerial vehicles",2010,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=goE5zLD_5kcC&oi=fnd&pg=PR9&dq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&ots=_UvlWzu4Wp&sig=pqKQ0ncqhb9shRxqEc0sVHfFSEk","https://scholar.google.com/scholar?cites=13951298876311943740&as_sdt=2005&sciodt=2007&hl=en",28,"2025-09-15 17:37:58","BOOK","","","",,,,,416,27.73,139,3,15,"… Approaches the solution to UAV path planning via two phases: … with the Copyright, Designs and Patents Act 1988. … and communication requirements make the path planning more …","https://www.academia.edu/download/61100038/Cooperative_Path_Planning_Of_Unmanned_Aerial_Vehicles_Book20191102-107583-sjhhu3.pdf","https://scholar.google.com/scholar?q=related:PDrhLWn4nMEJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
1,"H Shi, Z Zhao, J Chen, M Zhou, Y Liu","Enhancing UAV Path Planning in Multi-Agent Reinforcement Learning through Adaptive Dimensionality Reduction",2024,"","preprints.org","https://www.preprints.org/frontend/manuscript/62559f0e993d0a389a183f9dbb969f5b/download_pub","https://scholar.google.com/scholar?cites=10720352628783617360&as_sdt=2005&sciodt=2007&hl=en",80,"2025-09-15 17:37:58","PDF","","","",,,,,1,1.00,0,5,1,"… Effective path planning for multiple UAVs exploring a target area is crucial for maximizing … communication modules to facilitate inter-UAV coordination, further improving path planning …","https://www.preprints.org/frontend/manuscript/62559f0e993d0a389a183f9dbb969f5b/download_pub","https://scholar.google.com/scholar?q=related:UJWSwepXxpQJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
19,"Q Ding, X Xu","Improved GWO algorithm for UAV path planning on crop pest monitoring",2022,"","reunir.unir.net","https://reunir.unir.net/handle/123456789/13675","https://scholar.google.com/scholar?cites=13337240843768443242&as_sdt=2005&sciodt=2007&hl=en",90,"2025-09-15 17:37:58","","","","",,,,,19,6.33,10,2,3,"… is close to the ground vehicle-mounted terminal, the UAV establishes a communication link … relayed through the relay equipment on the signal tower to establish a communication link. …","https://reunir.unir.net/bitstream/handle/123456789/13675/ijimai_7_5_4.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:ajGmOOJlF7kJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
36,"X Liang, S Zhao, G Chen, G Meng, Y Wang","Design and development of ground station for UAV/UGV heterogeneous collaborative system",2021,"Ain Shams Engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2090447921002136","https://scholar.google.com/scholar?cites=3360367490579853469&as_sdt=2005&sciodt=2007&hl=en",94,"2025-09-15 17:37:58","HTML","","","",,,,,36,9.00,7,5,4,"… In data communication module, since the amount of data from the system is large, the data … In digital map module, a three-dimensional path planning method based on improved Ant …","https://www.sciencedirect.com/science/article/pii/S2090447921002136","https://scholar.google.com/scholar?q=related:nXDIvm1soi4J:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
1,"J Yang","Frequency Point Game Environment for UAVs via Expert Knowledge and Large Language Model",2025,"arXiv preprint arXiv:2508.02757","arxiv.org","https://arxiv.org/abs/2508.02757","https://scholar.google.com/scholar?cites=17466271609455609397&as_sdt=2005&sciodt=2007&hl=en",100,"2025-09-15 17:37:58","","","","",,,,,1,1.00,1,1,1,"… gradient-free path planning of the adversary UAV. This creates … This paper introduces UAV-FPG, a drone communication … decision-making and path planning in complex …","https://arxiv.org/pdf/2508.02757","https://scholar.google.com/scholar?q=related:NYYXEH2pZPIJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
12,"B Wu, B Zhang, D Guo, H Wang, ...","Anti-jamming trajectory design for UAV-enabled wireless sensor networks using communication flight corridor",2022,"China …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9837847/","https://scholar.google.com/scholar?cites=5445282457612621485&as_sdt=2005&sciodt=2007&hl=en",58,"2025-09-15 17:37:58","","","","",,,,,12,4.00,2,5,3,"… UAV flight trajectory. Firstly, we propose a general optimization framework which consists of path planning … papers and has been granted over 20 patents in his research areas. He has …","https://scholar.google.com/scholar?output=instlink&q=info:rZaqe4uHkUsJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=1546875106312296656&oi=lle","https://scholar.google.com/scholar?q=related:rZaqe4uHkUsJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
23,"BD Deebak, F Al-Turjman","Aerial and underwater drone communication: potentials and vulnerabilities",2020,"Drones in Smart-Cities","Elsevier","https://www.sciencedirect.com/science/article/pii/B978012819972500001X","https://scholar.google.com/scholar?cites=16785299429670374431&as_sdt=2005&sciodt=2007&hl=en",78,"2025-09-15 17:37:58","","","","",,,,,23,4.60,12,2,5,"… , path-planning, and communication requirements. This work includes machine learning and artificial intelligence for autonomous drone … the review of drone navigation methods and its …","https://scholar.google.com/scholar?output=instlink&q=info:H8wRIuZc8egJ:scholar.google.com/&hl=en&as_sdt=2007&as_vis=1&scillfp=18118844465539795207&oi=lle","https://scholar.google.com/scholar?q=related:H8wRIuZc8egJ:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
2,"S Jung, YJ Kim","Extremum Seeking-Based Radio Signal Strength Optimization Algorithm for Hoverable UAV Path Planning",2024,"Electronics","mdpi.com","https://www.mdpi.com/2079-9292/13/20/4064","https://scholar.google.com/scholar?cites=7953234929006469205&as_sdt=2005&sciodt=2007&hl=en",2,"2025-09-15 17:37:58","HTML","","","",,,,,2,2.00,1,2,1,"… on maintaining reliable UAV communication by ensuring the signal strength (RADIO.rssi) … path planning. We show that slight UAV movements can greatly enhance the communication …","https://www.mdpi.com/2079-9292/13/20/4064","https://scholar.google.com/scholar?q=related:VeCopgeRX24J:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
547,"Y Lu, Z Xue, GS Xia, L Zhang","A survey on vision-based UAV navigation",2018,"Geo-spatial information science","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/10095020.2017.1420509","https://scholar.google.com/scholar?cites=8041549377186004436&as_sdt=2005&sciodt=2007&hl=en",95,"2025-09-15 17:37:58","","10.1080/10095020.2017.1420509","","",,,,,547,78.14,137,4,7,"… due to the limitations of communication and perception ability of … , global path planning is not enough to control a UAV in real … He also holds 15 patents. His research interests include …","https://www.tandfonline.com/doi/pdf/10.1080/10095020.2017.1420509","https://scholar.google.com/scholar?q=related:1H3vdo1SmW8J:scholar.google.com/&scioq=uav%7Cdrone+%22waypoint+optimization%22%7C%22path+planning%22+%22signal+strength%22%7Cconnectivity%7Ccommunication+%22patent%22%7C%22patents%22+%22application%22%7C%22grant%22%7C%22publication%22%7C%22number%22%7C%22wo%22%7C%22us%22%7C%22cn%22%7C%22ep%22&hl=en&as_sdt=2007&as_vis=1"
