Cites,Title,Year
7,Method of optimized path planning for UAVs for the purpose of ground coverage,2022
633,Systems and methods for unmanned aerial vehicle navigation,2013
0,Drone path planning,2020
3,Method and apparatus for joint optimization of multi-UAV task assignment and path planning,2018
24,Computer implemented system and method for providing robust communication links to unmanned aerial vehicles,2019
13,Ducted rotor unmanned aerial vehicles,2018
17,Path planning method and related navigation device,2020
9,UAV flight path generating method and device,2020
8,Distance and communication costs based aerial path planning,2020
15,Joint search method for UAV multiobjective path planning in urban low altitude environment,2020
77,Systems and methods for UAV path planning and control,2020
18,Drone flight optimization using drone-to-drone permissioning,2021
9,System and method for optimizing unmanned aerial vehicle based warehouse management,2022
2,Grid based path search method for UAV delivery operations in urban environment,2024
0,Multi-drone/sensor platform with information lateralization and federated path planning,2024
0,UAV system emergency path planning on communication failure,2024
2,Unmanned aerial vehicle path planning method and apparatus and unmanned aerial vehicle,2024
2,Optimizing aircraft path planning,2024
0,Method for UAV path planning in urban airspace based on safe reinforcement learning,2025
3,Unmanned aerial vehicle swarm path planning,2025
144,Waypoint navigation,2007
207,Navigating a uav with obstacle avoidance algorithms,2007
113,Flight path planning to reduce detection of an unmanned aerial vehicle,2011
99,UAV decision and control system,2012
47,Connectivity maintenance using a quality of service-based robot path planning algorithm,2015
3,Distributed path planning for mobile sensors,2015
5,"System and method for decentralized, multi-agent unmanned vehicle navigation and formation control",2016
158,Unmanned aerial vehicle 3D mapping system,2017
90,Mission and path planning using images of crop wind damage,2017
102,Dynamic navigation of UAVs using three dimensional network coverage information,2017
19,"Systems, devices, and methods for generating vehicle routes within signal coverage zones",2019
21,Systems and methods for drone swarm wireless communication,2022
1,"Uav path planning method and device guided by the safety situation, uav and storage medium",2021
0,Federated deep reinforcement learning-assisted uav trajectory planning against hostile defense system,2025
0,Optimal path planning device and method for drones considering obstacles,2025
0,Multi-unmanned aerial vehicle (uav) cooperative coverage path planning methods based on improved ant colony algorithm with q-learning adaptive strategy,2025
